Size, Seq, Par, Libc
10000, 0.001252, 0.017293, 0.001175
20000, 0.002746, 0.020891, 0.002518
30000, 0.004231, 0.031709, 0.003924
40000, 0.005715, 0.026928, 0.005398
50000, 0.007284, 0.027238, 0.006849
60000, 0.008754, 0.025471, 0.008387
70000, 0.032854, 0.030661, 0.010066
80000, 0.012443, 0.035154, 0.011454
90000, 0.014013, 0.029583, 0.013116
100000, 0.015458, 0.038885, 0.014826
0, 0.000000, 0.000574, 0.000001
10000, 0.005637, 0.088291, 0.005054
20000, 0.011997, 0.072873, 0.004533
30000, 0.006620, 0.035578, 0.003933
40000, 0.005913, 0.029471, 0.005383
50000, 0.007337, 0.031823, 0.006873
60000, 0.008765, 0.029494, 0.008380
70000, 0.034050, 0.031534, 0.010125
80000, 0.012456, 0.032225, 0.011791
90000, 0.013564, 0.025327, 0.013281
100000, 0.035068, 0.032998, 0.014640
0, 0.000000, 0.000181, 0.000000
10000, 0.001248, 0.023889, 0.001183
20000, 0.002647, 0.023483, 0.002525
30000, 0.004223, 0.027191, 0.003939
40000, 0.005975, 0.023607, 0.005394
50000, 0.026821, 0.034765, 0.006987
60000, 0.008951, 0.025870, 0.008383
70000, 0.010607, 0.038263, 0.010168
80000, 0.012148, 0.032239, 0.011591
90000, 0.013625, 0.024703, 0.013177
100000, 0.015238, 0.029438, 0.014661
0, 0.000000, 0.000189, 0.000000
10000, 0.001251, 0.022858, 0.001187
20000, 0.002660, 0.025001, 0.002531
30000, 0.004214, 0.025983, 0.004093
40000, 0.005786, 0.025040, 0.005376
50000, 0.007354, 0.029497, 0.006846
60000, 0.008826, 0.032708, 0.008584
70000, 0.010444, 0.029728, 0.010140
80000, 0.012073, 0.030334, 0.011526
90000, 0.014448, 0.029780, 0.013099
100000, 0.015860, 0.033892, 0.014888
0, 0.000000, 0.000187, 0.000000
10000, 0.001279, 0.019700, 0.001175
20000, 0.002683, 0.024064, 0.002524
30000, 0.004130, 0.027422, 0.003951
40000, 0.005745, 0.029007, 0.005376
50000, 0.007390, 0.029424, 0.006855
60000, 0.030927, 0.041299, 0.008391
70000, 0.010543, 0.030450, 0.010011
80000, 0.012183, 0.025725, 0.011691
90000, 0.014315, 0.029673, 0.013377
100000, 0.015863, 0.033503, 0.014830
0, 0.000000, 0.000159, 0.000000
10000, 0.001748, 0.019995, 0.001171
20000, 0.002689, 0.024958, 0.002526
30000, 0.004282, 0.026275, 0.003941
40000, 0.020902, 0.038164, 0.005620
50000, 0.007602, 0.028206, 0.006873
60000, 0.009252, 0.027531, 0.008574
70000, 0.010320, 0.029288, 0.010011
80000, 0.012222, 0.041995, 0.011670
90000, 0.013871, 0.026103, 0.013238
100000, 0.026809, 0.026999, 0.014849
0, 0.000000, 0.000182, 0.000001
10000, 0.001233, 0.022199, 0.001186
20000, 0.003034, 0.022026, 0.002616
30000, 0.004282, 0.026654, 0.003937
40000, 0.005653, 0.028336, 0.005412
50000, 0.029800, 0.039369, 0.006932
60000, 0.009257, 0.026952, 0.008382
70000, 0.010409, 0.028316, 0.010100
80000, 0.033751, 0.034263, 0.011442
90000, 0.021822, 0.024748, 0.013119
100000, 0.016180, 0.023011, 0.014614
0, 0.000000, 0.000161, 0.000000
10000, 0.001268, 0.015554, 0.001179
20000, 0.002828, 0.025139, 0.002519
30000, 0.004268, 0.034859, 0.004172
40000, 0.005819, 0.025788, 0.005433
50000, 0.007287, 0.028447, 0.006929
